2025-06-17T08:13:20.002+03:00  INFO 21392 --- [5-FurniBay] [main] lt.ca.javau12.furnibay.Application       : Starting Application using Java 21.0.6 with PID 21392 (C:\Users\giedr\git\repository\5-FurniBay\target\classes started by giedr in C:\Users\giedr\git\repository\5-FurniBay)
2025-06-17T08:13:20.008+03:00 DEBUG 21392 --- [5-FurniBay] [main] lt.ca.javau12.furnibay.Application       : Running with Spring Boot v3.4.6, Spring v6.2.7
2025-06-17T08:13:20.008+03:00  INFO 21392 --- [5-FurniBay] [main] lt.ca.javau12.furnibay.Application       : No active profile set, falling back to 1 default profile: "default"
2025-06-17T08:13:20.724+03:00  INFO 21392 --- [5-FurniBay] [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-06-17T08:13:20.808+03:00  INFO 21392 --- [5-FurniBay] [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 69 ms. Found 4 JPA repository interfaces.
2025-06-17T08:13:21.784+03:00  INFO 21392 --- [5-FurniBay] [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8083 (http)
2025-06-17T08:13:21.809+03:00  INFO 21392 --- [5-FurniBay] [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2025-06-17T08:13:21.809+03:00  INFO 21392 --- [5-FurniBay] [main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.41]
2025-06-17T08:13:21.874+03:00  INFO 21392 --- [5-FurniBay] [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2025-06-17T08:13:21.875+03:00  INFO 21392 --- [5-FurniBay] [main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 1798 ms
2025-06-17T08:13:22.077+03:00  INFO 21392 --- [5-FurniBay] [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2025-06-17T08:13:22.202+03:00  INFO 21392 --- [5-FurniBay] [main] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 6.6.15.Final
2025-06-17T08:13:22.262+03:00  INFO 21392 --- [5-FurniBay] [main] o.h.c.internal.RegionFactoryInitiator    : HHH000026: Second-level cache disabled
2025-06-17T08:13:22.375+03:00 DEBUG 21392 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@4e48462d
2025-06-17T08:13:22.377+03:00 DEBUG 21392 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration boolean -> org.hibernate.type.BasicTypeReference@4e48462d
2025-06-17T08:13:22.377+03:00 DEBUG 21392 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Boolean -> org.hibernate.type.BasicTypeReference@4e48462d
2025-06-17T08:13:22.377+03:00 DEBUG 21392 --- [5-FurniBay] [main] org.hibernate.type.BasicTypeRegistry     : Adding type registration numeric_boolean -> org.hibernate.type.BasicTypeReference@17216605
